Org,Trees to date,Status,As of,Clients (count),Notable clients,Source
Forest Creators (Enviro-Creators Foundation),"3.5M+ (35,00,000+) via 133+ forests across 12 states",self-reported,~June 2026 homepage capture; no dated baseline,"120+ projects; corporate logos shown, names not in page text","Wipro, Bosch India, JNPA (Jawaharlal Nehru Port Authority)",https://forestcreators.com/
Forests by Heartfulness (Heartfulness Institute),"3M+ across 10,000 acres in 12 states (goal 30M by 2030)",self-reported,June 2025 (World Environment Day press),3 named corporate partners (others solicited),"Hindustan Coca-Cola Beverages (HCCB), Bosch Global Software Technologies, Zscaler",https://heartfulness.org/forests/
"WeForest (India — Khasi Hills, Meghalaya)","1.5M+ in Khasi Hills (India project; restoring 3,150 ha, targeting 4M+ over ~5,000 ha). Org-wide all-countries: 110M+",self-reported,India figure as of 4 June 2024 page update; Khasi Hills is carbon-project linked,Global: US$62M raised from 450+ corporate partners + 50 philanthropists/foundations,"Circular Computing, TreeSisters (both India/Khasi-tied), Nike, Brabantia, DB Schenker, Deloitte, Brambles, PrintReleaf",https://www.weforest.org/programmes/special-projects/khasi-hills/
Bhumi,~2.58M cumulative (1M native under Project Treedom 2023 + 1.58 lakh in 45 days 2022),self-reported,1M trees announced 23 Aug 2023; 1.58 lakh in 2022,"Lead env CSR partner Standard Chartered; broader org 30,000+ volunteers across 12+ cities","Standard Chartered Bank, Indian Army, National Security Guard (NSG)","https://csrbox.org/India_CSR_news_Standard-Chartered-Bank,-Armed-Forces,-NSG-and-Bhumi-plant-1-million-native-trees_2263"
Vanam India Foundation,"800,000+ (8 lakh) saplings since 2015, plus 12.5 lakh Palmyra seeds sown",self-reported,~2024 ('to date'),10 sponsors + 5 associate partners + 7 MOU signatories (mostly TN textile/regional businesses),"Bannari Amman Group, KPR, NTC, Payoda, Ramraj, Rotary International, Lions Club, Institute of Forest Genetics & Tree Breeding (Coimbatore)",https://www.vanamindiafoundation.org/
EcoSikh (Guru Nanak Sacred Forest),"900,000 (9 lakh) native trees across 1,580+ micro-forests",self-reported,"2026 (EcoSikh live page confirmed verbatim); earlier 470,000/850 forests milestone",3 named industry/CSR partners; 'Industrial forests under CSR' segment open to corporates,"Vardhman Special Steels, Big Ben Group, Ganga Acrowools",https://ecosikh.org/guru-nanak-sacred-forest/
communiTREE / Be The Tree Hugger (INCUMBENT),"890,000 (8.9 lakh) across 68 locations (most recent LinkedIn showcase). Other self-reported: '1M / 78 locations' (marketing), '600,000+' (homepage banner), '5.06-5.6 lakh' (achievements/2020 press)",self-reported,~2024-2025 for 8.9 lakh/68 locations; 5.6 lakh as of 29 Dec 2020,No official aggregate; 14 corporate/CSR clients independently verified this pass,"Mahindra World City, Bangalore University, SIPCOT, Ramboll, Times of India, Hero MotoCorp, CGI, GlobalLogic, Siemens Healthineers, BNP Paribas, IndusInd Bank, American Express, Sembcorp, Sundram Fasteners, Timken",https://in.linkedin.com/showcase/communitreeindia/
Sahyadri Devrai (Sahyadri Devrai Samajik Sanstha),"650,000+ (6.5 Lac+) indigenous trees across 29 Devrais",self-reported,2025 (sahyadridevrai.org); initiative began 2015,7 named corporate/CSR partners,"Oerlikon Textile, Datwyler Pharma Packaging, Mahindra & Mahindra Financial Services, Emcure Pharmaceuticals, Mukul Madhav Foundation, Brenntag, Global Jewellery",https://www.sahyadridevrai.org/journey
Afforestt,"450,026 trees across 44 cities, 10 countries (not on afforestt.com/about; surfaced via company materials)",self-reported,"no explicit date; founded 2011, figure circa 2023-2024",Works across 11+ countries; no aggregate client count published,"Toyota, Shell, CAG India, Temasek (Singapore), Singapore Zoo, NEOM (Saudi Arabia), Harvard University",https://afforestt.com/about/
Naam Foundation,"350,000 (3,50,000); goal 1 crore (10M)",self-reported,2025 (naammh.org tree-plantation page); founded 2015,20 named CSR partners (most fund water work; trees one program in same base),"Tata Motors, BASF India, Epiroc, Yazaki, SICK India, Komatsu, CanPack, CDSL, NHPC, Nipro, Persistent Foundation",https://naammh.org/tree-plantation/
Thuvakkam,"200,000+ (2 lakh) across Chennai, Hyderabad + others (2021 milestone 65,000 / 25 Miyawaki forests)",self-reported,"give.do profile 2024-2025; 65,000 as of 2021","Unnamed CSR-partner logos shown; works with Chennai Corporation (govt); 40,000+ volunteers",,https://give.do/discover/7WF/thuvakkam/
Green Yatra,"~151,821 via Pedh Lagao (goal 10 crore by 2025); ~130,000 overall with 90%+ survival",self-reported,"2024-2025 (site in maintenance); 151,821 confirmed",'100s of corporate houses' (own claim),"DCB Bank, Morningstar, Covestro, Karix Mobile, John Cockerill India",https://www.greenyatra.org/corporates-csr.php
United Way Mumbai (urban afforestation),"125,000+ trees maintained across 6 cities (2023-2024); Indirapuram landfill Miyawaki = 39,000 trees",self-reported,2023-2024,Org-wide 300+ corporate / 500+ NGO partners over 20+ yrs; only 2 named on tree projects,"GlobalLogic India, Kennametal, Say Earth (implementation partner)",https://www.unitedwaymumbai.org/urbanafforestation
"Vrikshawali (Environmental Preservation Society, Jaipur)","18,500+ plants across Jaipur",self-reported,not dated on site; org founded 2016,"0 named (works with 'individuals, corporates and educational institutions', none named)",,http://vrikshawali.org/our-journey.html
Tree Tag (treetag.in),"No org-wide cumulative (geotagging/transparency platform, not primarily a planter); press cited ~10,000 saplings tagged (2023)",unconfirmed,"2023 press for ~10,000 tagged; project figures undated",Not stated,"Mahindra Logistics, Hyundai, Confederation of Indian Industry (CII), Young Indians (Yi), Algoworks, Care Today Fund (India Today Group)",https://www.treetag.in/business
Nelda Foundation,"No verified cumulative (homepage counter renders '0+'); 500+ by May 2017, 'thousands' ongoing; goal 1B by 2041",unconfirmed,500+ as of May 2017; no current total,14 named companies; no official total; Pune-region drives,"Cognizant, CrowdStrike, SpiceJet, PubMatic, Fleetguard, Walter Tools, Nexdigm, Ocean Network Express, zCon Solutions",https://nelda.org.in/companies/
Aahwahan Foundation,"Unreconciled: own site 70,56,825 (~7.05M) 'plants till date'; give.do says 8.7M; CSRBOX ~7.5M; homepage also shows '7 million' slider and a '6825 plants' legacy counter",self-reported,give.do / CSRBOX 2024; homepage undated,No aggregate corporate count published,"Simeio Development Centre, Finastra, Trelleborg India",https://www.aahwahan.com/
Environmentalist Foundation of India (EFI),No separate cumulative tree total (primary metric is 431 water bodies across 18 states since 2007); native saplings planted on lake bunds as sub-activity,self-reported,431 water bodies as of ~2024; Wikipedia cites 167-170+ (2021-2022),"No official aggregate; corporates named in volunteer/CSR contexts; ~250,000 individuals/yr engaged","Cognizant, TCS, Citi, Hexaware, Take Solutions, Scope International, Vivriti Capital",https://indiaenvironment.org/our-projects/
Vata Foundation,"Primarily tree-TRANSLOCATION, not planting: 7,500+ translocations across 7 states (85% survival); separate planting 18,500+ distributed, 7,800+ planted (Damagundam), 3,500+ (Tipeshwar). No Miyawaki cumulative",self-reported,vatafoundation.org as of June 2026; founded 2015,"0 corporate/CSR named; only 'Project Amber' (Indian Navy — govt/defence, not corporate)",,https://vatafoundation.org/about-us/
Say Earth (sayearth.org — Ramveer Tanwar),"No cumulative total published; 6-7 urban forests created (1,000-2,000 saplings each); 80+ ponds restored. Distinct from SayTrees",self-reported,sayearth.org as of June 2026; forests ~2020-2022,"CSR-partner names surfaced via search (logos only on site, not text-confirmed)","HDFC, HCL Foundation, Technip Energies, Coca-Cola India, Airbus, Accenture",https://sayearth.org/about
Foundation for Ecological Security (FES),"No tree count published — reports HECTARES of commons under assisted natural regeneration (model is not nursery planting). Area figures inconsistent: 107,094 ha (older), '3M ha' rehabilitated, '11.38M acres' protected (figures don't align)",self-reported,"107,094 ha ~2019; larger 3M-ha/11.38M-acre claims 2023-2025",2 named corporate CSR partners; also philanthropy-backed (Skoll),"Axis Bank Foundation, ITC (Mission Sunehra Kal)",https://en.wikipedia.org/wiki/Foundation_for_Ecological_Security
Grow Billion Trees,"None published — goal-only ('1 billion by June 2030' / 100 crore); 'millions across 15+ states'; one project = 1M across 3,000 ha. Commercial ₹299/tree business",unconfirmed,"2026 (current site; goal-only, no cumulative actual)","Claims '100,000+ corporate & retail customers' / 'over 500 corporations' (logos only, few named)",Mahindra Lifespaces,https://growbilliontrees.com/
NIZHAL (Chennai),"No published cumulative (volunteer-driven 'sensitive greening'); largest site Kotturpuram Urban Forest ~1,000 trees/shrubs; 9 projects across city",unconfirmed,~2025 (per-site figures only; founded Sept 2005),"0 corporate/CSR named (volunteer-driven); collaborators are govt (PWD, GCC, TN Forest Dept)",,https://www.nizhaltn.org/
Care Earth Trust (Chennai),No published cumulative (core work wetland/biodiversity restoration; native saplings on bunds as sub-activity),unconfirmed,~2023 (no tree total; wetland program ongoing),No official total; NatWest 'longstanding CSR supporter',"The Nature Conservancy, NatWest Group, Wipro Foundation, IIT Madras, Greater Chennai Corporation",https://careearthtrust.org/wetland-restoration/sembakkam-lake-restoration-plan/
Backyard Botanist (backyardbotanist.in),No cumulative published (Miyawaki design/advisory + CSR-guide publisher),unconfirmed,n/a — no figure (site checked June 2026),"No own named clients found (its CSR guide cites ITC, Tata Steel, Infosys, etc. only as generic industry examples, NOT its clients)",,https://backyardbotanist.in/
