Priority,NGO,Region,Opportunity,Tech maturity,Scale,Corporate clients (reach),Target,Source,Status
High,Vrutti - Livelihood Impact Partners (Catalyst Group),"National (HQ Bengaluru); Karnataka, Telangana, MP +",white-label target,unconfirmed (no dedicated per-tree MRV SaaS evident),Ambition: 5M farmers + regenerate 1M ha; smallholder value-chain + regenerative/agroforestry programs,"Godrej Agrovet, Social Venture Partners, EdelGive Foundation, Azim Premji Philanthropic Initiative, NABARD, SFAC (Govt of India)",CEO / Head of Climate & Regenerative Agriculture,https://vruttiimpactcatalysts.org/,
High,Sahyadri Farms (Farmer Producer Company),"National (HQ Nashik, Maharashtra); expanding to Gujarat, AP, Karnataka",white-label target,unconfirmed (no per-tree/per-orchard MRV confirmed; pursuing carbon-market access),"~30,000 small/marginal farmers; 40,000 acres; 100% farmer-owned; mentoring 200 FPOs / 1 lakh+ farmers; raised Rs 390 Cr","responsAbility, GEF Capital (investors); FPO-to-FPO network of 200 FPOs","Head of Sustainability / Climate, or MD Vilas Shinde",https://www.sahyadrifarms.com/,
High,Thuvakkam,Tamil Nadu (Chennai & TN districts) — HIGH PROXIMITY,white-label target,none (does own maintenance; no digital MRV/geotag/app),"25 Miyawaki forests; 65,000 native trees; 9.2 acres; 40,000+ volunteers",Listed on CSRBox for urban-forestry CSR; specific corporate names not confirmed,Founder (Krishnakumar S),https://30stades.com/2021/05/21/green-lungs-how-thuvakkam-creating-urban-forests-biodiversity-tamil-nadu-japan-miyawaki/,
High,SankalpTaru Foundation,National (HQ Dehradun); 25 states / 35+ cities (Leh-Ladakh to TN coast),partner/benchmark,"full-MRV/blockchain (VERIFIED: Polygon blockchain since 2022 — first Indian environmental NGO; IoTree IoT devices, GPS geotag on Google Earth, remote sensing, drone surveys, ESG/CSR dashboard, 'HUGE' app)","3-3.5M trees planted-and-survived (CORRECTED per fact-check — NOT 11M; 30,000 farmers, 25 states/35 cities); India's first IT-enabled tree NGO, est. 2012","Google, Microsoft, Accenture, Infosys, TCS, Amazon, Flipkart, Tata Motors, Kia, Volvo, Mercedes-Benz, PayPal, HDFC, SBI, Verizon, NTT Data, Salesforce India, Mamaearth, MakeMyTrip, Blue Dart, DHL, Macquarie",(Benchmark — study product & tech team) Head of Technology / CTO,https://sankalptaru.org/greenovation/,
Medium,Foundation for Ecological Security (FES),"National (HQ Anand, Gujarat); 7-8 states (Rajasthan, MP, Odisha, AP, Karnataka)",partner/benchmark,"basic-geotag (landscape GIS/remote-sensing via CLART/India Observatory for restoration planning, NOT per-tree sponsor-facing MRV)","7,000+ villages; ~1-3M ha commons restored; ~1M households / 7.8M rural people; demonstrated 65% increase in tree biomass; Elinor Ostrom Award","Mulago, Skoll, IUCN, NABARD-linked; RCRC coalition; corporate CSR roster not itemized per-project","Head of Technology / GIS & Remote Sensing Facility, or Director of Partnerships",https://fes.org.in/,
Medium,Watershed Organisation Trust (WOTR),"National (HQ Pune); 9 states; 52 districts, 3,683 villages",partner/benchmark,"basic-geotag (watershed/landscape monitoring, no sponsor-facing per-tree MRV)","3.7M+ people impacted; 1.33M ha; watershed + agroforestry + soil/water conservation across 3,683 villages; est. 1993","Apraava Energy (tree-planting CSR), Govt of Maharashtra (EbA MoU); listed on CSRBox","Director, W-CReS (Centre for Resilience Studies) / Head of CSR Partnerships",https://wotr.org/w-cres/,
Medium,BAIF Development Research Foundation (Wadi model),National (HQ Pune); 10-25 states via NABARD,partner/benchmark,unconfirmed (no per-tree digital MRV/sponsor app evident),"Tree-based farming on 81,000-89,000 ha across 10 states; 40,000 wadi farmers; 54-58 FPOs; FY24-25 added 2,828 ha / 7,625 families",Long CSR + bilateral/NABARD funding history; specific 2024 corporate roster not itemized,"President / VP Programmes, or Head of Agri-Horti-Forestry (Wadi)",https://baif.org.in/what-we-do/Agri-horti-forestry/,
Medium,Nelda Foundation (Project Nelda),"National positioning (HQ Pune, Maharashtra)",white-label target,none (no per-tree geotag/app/dashboard; impact metrics are placeholder zeros),Goal 1 billion trees by 2041; adopted Hanuman Tekdi hill (Pune) since 2016; weekly drives; total planted unconfirmed (site shows placeholder zeros); also runs NGO-aggregator directory,"Capgemini, UPS, Walter Tools, iPlace USA, CrowdStrike; earlier Fleetguard, zCon Solutions",Founder / Program Director,https://nelda.org.in/,
Medium,EcoSikh (Guru Nanak Sacred Forests),"National (HQ Punjab); Punjab + Rajasthan, Gujarat, Maharashtra, Delhi, Chandigarh, J&K (+ Sikh diaspora funding US/UK/Canada)",white-label target,basic-geotag (forests visible on Google Maps at block level; process largely manual Miyawaki; no per-tree donor MRV/app),"850+ Guru Nanak Sacred Forests = ~470,000 trees VERIFIED floor (550 trees/forest, >95% survival); self-reported ceiling ~1,250 forests / ~700,000 trees (diaspora tally, not independently confirmed)","Vardhman Special Steels (10,000-tree Amritsar forest), Weltech Group, Bajaj Sons, Swaraj Tractors, Sajjan Precision; Dasvandh Network diaspora donors","President / National Coordinator, EcoSikh India (Dr. Rajwant Singh)",https://ecosikh.org/guru-nanak-sacred-forest/,
Medium,Afforestt (Shubhendu Sharma),National + global (HQ Bengaluru); 75-130+ forests across 25 cities / 10 countries,supply partner,none / basic-geotag (no per-tree MRV/app productized),75-130+ Miyawaki forests; clients from farmers to corporations to city govts; open-sources its method,Toyota (forest at Pune plant) and other corporate/city-government clients; B2B installer model,Founder Shubhendu Sharma / Partnerships,https://afforestt.com/about/,
Medium,Aahwahan Foundation,National (HQ Bengaluru); multi-state,white-label target,none (no disclosed per-tree geotag/MRV/app),7.5M+ plants to date (1.5M by 2019); target 10M trees by 2025,"Simeio, Trelleborg India, Finastra (large-scale Karnataka drives) + other CSR partners",CSR / Corporate Partnerships Manager (or Founder B.K. Pradhan),https://www.aahwahan.com/plantation,
Medium,Vanam India Foundation,Tamil Nadu (national aspirations) — HIGH PROXIMITY,white-label target,none (no per-tree geotag/MRV/app),"~8 lakh (800,000) saplings since 2015; 1000+ trustees; village-level native afforestation",CSR-funded village afforestation (CSRBox-listed); corporate names limited publicly,Founder / CSR Coordinator,https://www.vanamindiafoundation.org/,
Medium,Environmentalist Foundation of India (EFI),"National (HQ Chennai, Tamil Nadu); 18 states — HIGH PROXIMITY",partner/benchmark,basic-geotag (Restor partner; maps water bodies + afforestation pockets via GIS — corrected from 'none' per fact-check),"460-485 water bodies restored; ~6-80 afforestation pockets / ~46,000 trees; 47 CSR partners; founded 2007 (Arun Krishnamurthy, Rolex Award)",47 CSR partners incl. Goodyear South Asia Tyres (Shenpunji Lake),Founder (Arun Krishnamurthy) / CSR Partnerships Lead,https://wateractionhub.org/organizations/505/d/environmentalist-foundation-of-india-efi/,
Medium,Isha Outreach — Cauvery Calling & Project GreenHands,"Tamil Nadu / Karnataka (Cauvery basin), Coimbatore HQ — HIGH PROXIMITY",partner/benchmark,"basic-geotag → emerging full (has 'Cauvery Koogu' farmer app: Mara Mitras geo-tag plants, record coords, upload photos, run survival surveys; per-tree GPS still partial/pilot-era for older trees)","Cauvery Calling 122M+ saplings cumulative (13.6M in FY24-25, 34,000 acres, 213,000+ farmers); Project GreenHands 23.8M+ via 2M+ volunteers; goal 2.42 billion trees","Xiaomi (1.8 lakh trees), NABARD, Tata Trust, Arbor Day Foundation, IUCN/WEF ecosystem; CSR implementation partner since 2009","Cauvery Calling Project Office / Isha Outreach CSR (benchmark, not a sale)",https://consciousplanet.org/en/cauvery-calling/blog/136-million-saplings-planted-2024-25-under-cauvery-calling-movement-total,
Medium,Sahyadri Devrai,Maharashtra (Western Ghats / Sahyadri); 29+ locations,white-label target,none (no per-tree geotag/drone/MRV found),"6.5 lakh+ (650,000) indigenous trees across 29+ sites; founded 2015; replanting devrais",Unconfirmed — celebrity-founder (actor Sayaji Shinde) driven; collaborates with foundations + CSR drives; no published corporate roster,Founder (Sayaji Shinde) / Trustee-Operations,https://www.sahyadridevrai.org/about-us,
Medium,Vata Foundation,National (HQ Hyderabad); 7 states (incl. Maharashtra/Tipeshwar),white-label target,none (no per-tree geotag/MRV/app),"5,000+ mature trees translocated, 85% survival; native forest + wildlife-corridor restoration","Runs a 'Forest Adoption' CSR product; states CSR partnerships, names unconfirmed",Co-founder (Uday Krishna Peddireddi),https://vatafoundation.org/forest-adoption/,
Medium,Brahma Kumaris (Rural Development Wing / 'Green India - Clean India'),"National (HQ Mount Abu, Rajasthan); pan-India via thousands of BK centres",white-label target,basic-geotag (only digital touchpoint is a WhatsApp 'plant and register a tree' system; no geotag/MRV/sponsor platform),"Targets 200,000+ trees/year; e.g. one Rourkela centre 7,000 trees in 180 locations; 1,000 farmers in Sustainable Yogic Agriculture",Largely self/donor/member-funded; no major named corporate CSR partners,"Coordinator, BK Rural Development Wing / Environment Initiative",https://eco.brahmakumaris.org/tree-planting-rural-wing/,
Medium,"ISKCON — Govardhan Eco Village (GEV, ISKCON Wada)","Maharashtra (Wada, Palghar district, ~108 km N of Mumbai)",white-label target,none (no per-tree geotag/MRV),"5,000 trees + 15,000 shrubs on ~100-acre campus; 150,000 fruit saplings distributed to Palghar villagers; award-winning since 2003",Receives CSR & philanthropy (under HH Radhanath Swami); active donation/CSR portal; no marquee names confirmed,"Director / CSR Lead, Govardhan Eco Village",https://iskcongev.com/vrindavan-forest/tree-plantation/,
Medium,Mata Amritanandamayi Math (Amma / Embracing the World / AYUDH),"National (HQ Amritapuri, Kerala); pan-India + global diaspora chapters",white-label target,none (no per-tree geotag/MRV/sponsor platform),"1M+ trees globally (UN Trillion Tree member); 6M-sapling drive for Amma's 60th; AYUDH distributed 350,000+ saplings in Kerala",Largely devotee/diaspora-funded via Embracing the World; no major named corporate tree partners,"Coordinator, MAM Environmental Programs / AYUDH Green",https://amma.org/news/ammas-volunteers-plant-6-million-trees,
Medium,Naandi Foundation (Arakunomics / Araku),"National (HQ Hyderabad); Araku Valley, Andhra Pradesh (333 villages, 6,000+ ha → 18,000 ha)",supply partner,full-MRV/blockchain (full carbon-MRV pipeline selling verified credits),"47.5M trees (incl. 3M coffee trees); 85% survival; ~5M tonnes CO2 over 20 yrs; 40,000 farmers in Araku-2","Livelihoods Carbon Fund (Danone, Mars, Michelin, Schneider, Hermes, Firmenich); Mahindra (Anand Mahindra champion)",CEO / Head of Arakunomics & Carbon Programs,https://naandi.org/,
Medium,PRADAN (Professional Assistance for Development Action),"National (HQ Delhi); Jharkhand, Odisha, MP, Chhattisgarh, WB, Bihar, Rajasthan",white-label target,unconfirmed (no sponsor-facing per-tree MRV evident),"3,000 ha Terminalia host-tree plantation on wastelands for tasar silk; women-focused; 3+ decades",Livelihoods Carbon Fund (co-funding tasar plantation + value chain); broad institutional/philanthropic funding,Integrator / Head of Natural Resource Management or Carbon,https://livelihoods.eu/portfolio/india-agroforestry-silk-tree-plantation-to-bring-marginalized-communities-out-of-poverty/,
Medium,Aga Khan Rural Support Programme India - AKRSP(I),"National (HQ Ahmedabad, Gujarat); 3,255+ villages in Gujarat, MP, Bihar, Maharashtra",white-label target,unconfirmed (no per-tree digital MRV/app evident),"100,000+ farmers reached; promotes agroforestry, intercropping, integrated farming; 80%+ marginalized beneficiaries","AKDN core funding; NABARD, govt schemes, CSR partners (not itemized per-project)",CEO AKRSP(I) / Head of Natural Resource Management,https://www.akrspindia.org.in/,
Medium,WASSAN (Watershed Support Services and Activities Network),"National (HQ Hyderabad); Telangana, AP, Odisha (Koraput) +",white-label target,unconfirmed (data-sharing platforms exist; no per-plot MRV confirmed),Network NGO since 1996; landscape restoration in Koraput & AP; multi-actor platforms + blended-finance models,Blended finance (public schemes + philanthropic + community credit); govt watershed programs; corporate CSR not itemized,Executive Director / Head of Landscape Restoration,https://wassan.org/,
Medium,Seva Mandir,Rajasthan (HQ Udaipur; Udaipur & Rajsamand districts),white-label target,none (no digital per-tree MRV),"500,000+ people across 1,300 villages; afforestation on commons/wastelands + pasture development; founded 1968",Diverse philanthropic + CSR donor base for commons/afforestation; specific roster not itemized,CEO / Head of Natural Resource Development,https://sevamandir.communityconservedareas.org/,
Medium,Paryavaran Mitra,Gujarat (Ahmedabad),white-label target,unconfirmed (no confirmed per-tree geotag/app/MRV),'Vriksha Vandana' program; aims to cover 15 Gujarat cities with indigenous species; makes citizens 'tree guardians',Unconfirmed — citizen + institutional greening; corporate roster not published,Program Head / Founder,https://sadbhavnadham.org/how-ngos-are-creating-miyawaki-forests-in-gujarat/,
Medium,Nature Environment and Wildlife Society (NEWS),West Bengal (Sundarbans; Kolkata-based),white-label target,unconfirmed (no in-house per-tree geotag/MRV app evident),Mangrove afforestation with women's groups; partnered with Livelihoods Funds to plant ~16M mangrove trees in the Sundarbans,Livelihoods Carbon/Funds (Danone/Mars-backed); other corporate CSR unconfirmed,Director / Sundarbans Mangrove Program Lead,https://livelihoods.eu/portfolio/news-india/,
Medium,Mukti,West Bengal (Sundarbans delta + 10 districts),white-label target,unconfirmed (no confirmed per-tree MRV tech),"Trust since 2005; 10 lakh+ beneficiaries, ~1.5 lakh households, 30,000 SHG women; SHG-women-led mangrove nursery & plantation",Active CSR-funded mangrove restoration (CSRBox-listed); specific names not consolidated,Founder / CSR & Environment Program Head,https://muktiweb.org/,
Medium,Vrikshawali (Environmental Preservation Society),Rajasthan (Jaipur),white-label target,"basic-geotag (delivers proof as ad-hoc photos + Google Maps location to donors — manual pseudo-geotag, not a real MRV/app/dashboard)",Founded 2016; thousands of trees planted & maintained in Jaipur; 80-90% survival; Neem/Peepal/Gulmohar/Jamun,Works with corporations & SMEs on CSR (holds CSR certifications); specific names not published,Founder / CSR Partnerships Coordinator,https://vrikshawali.org/,
Medium,Dera Sacha Sauda (Shah Satnam Ji Green 'S' Welfare Force),"National (HQ Sirsa, Haryana); Punjab, Haryana, Rajasthan, UP",white-label target,none (ZERO digital MRV; survival/verification undocumented),"Claims 17 crore (170M) trees cumulative; Guinness records — 6.87M saplings in 8 hrs (2009), 1.95M in 1 hr (2011) by 300,000+ volunteers",Self-funded via massive devotee force; no corporate CSR partners,"Coordinator, Shah Satnam Ji Green S Welfare Force Wing",https://www.derasachasauda.org/tree-plantation-campaign/,
Medium,Lions Clubs International — India districts,National network (e.g. Chandigarh Host + many state districts),white-label target,unconfirmed (no standardized digital tracking surfaced),Recurring district plantation drives (hundreds-thousands/drive); cumulative unconfirmed,Member-business funded + local sponsors; no centralized corporate CSR roster,District Environment Service Chairperson (relevant Indian district),https://www.face2news.com/news/101799-tree-plantation-by-lions-club-chandigarh-host.aspx,
Medium,SGPC (Shiromani Gurdwara Parbandhak Committee) — Gurdwara forests,Punjab + neighbouring states (90 historic gurdwaras),white-label target,none (no digital tracking),"Plan: one-acre forests at 90 historic gurdwaras; Sikh Environment Day drives (e.g. 2,000+ saplings, Mar 2025)",Institutional/religious-body funded; no corporate partners (potential to route Sikh-business/diaspora CSR),"Secretary, Dharm Prachar / Environment Cell, SGPC",https://www.tribuneindia.com/news/amritsar/gurtagaddi-diwas-of-seventh-sikh-guru-celebrated-by-sgpc-as-environment-day,
Medium,Grow-Trees.com (Grow-Trees Environ Solutions Pvt. Ltd.),National (HQ Mumbai); 23-25 states (+ Africa),partner/benchmark,"full-MRV/blockchain (own GeoTag GPS per tree, on-map view, growth/satellite updates, independent-auditor verification, eTreeCertificate, ESG portal; 3-yr care)",20M+ trees in 2024; 150+ projects over 15 yrs; 1.6M+ workdays of rural employment,"Tata Group, Aditya Birla Group, Mercedes, PepsiCo, HDFC, DBS, HSBC, Sanofi, Blue Dart/DHL, EY, Nokia, SBI Life, Franklin Templeton, Kotak, Tech Mahindra, Thomas Cook, NTPC, Indian Oil, Hero MotoCorp — 1,000+ companies",(Benchmark / possible channel) Head of Corporate Partnerships,https://www.grow-trees.com/corporate-partnership,
Medium,"Tree Tag (by Alphavogue, supported by Thanal & Vydyuthi)",Origin Kerala (Trivandrum); usable nationally,supply partner,full-MRV/blockchain (the per-tree geotag + 3-yr monitoring tech layer itself),Geo-tagging PLATFORM — NGO volunteers geo-tag trees; 3-year monitoring per tree,Provides free platform to NGOs/sponsors for CSR tree projects (sponsor-and-track model),(Tech/supply reference) Alphavogue / Thanal product team,https://www.treetag.in/about,
Low,Bhumi,National (15+ cities; origin Chennai) — proximity origin,white-label target,none (no per-tree geotag/MRV/app),"30,000+ volunteers; environment sub-scale (FY23-24 target +10,000 trees; 90 events / 2,662 volunteers)",Corporate volunteering / employee-engagement partners; broad CSR relationships,Corporate Partnerships / CSR Lead,https://en.wikipedia.org/wiki/Bhumi_(organisation),
Low,Sahjeevan,Gujarat (Kutch & Saurashtra),white-label target,none (no digital per-tree MRV),Recovered 500+ ha degraded arid land; drought-resistant native nurseries; community/pastoralist-led; forms CFMCs for biodiversity rights,Unconfirmed — grant/community-funded; no published corporate roster,Director / Biodiversity Restoration Lead,https://sahjeevan.org/biodiversity-restoration-conservation/,
Low,Vasundhara,Odisha (HQ Bhubaneswar); eastern India,white-label target,none (no per-tree MRV stack),"Research + policy + field NGO on Forest Rights Act, community forest restoration; works with forest-dependent communities across Odisha",Largely foundation/grant funded; corporate CSR not itemized,Executive Director / Programme Head - Community Forestry,https://www.facebook.com/vasundhara.odisha/,
Low,Naam Foundation,Maharashtra (HQ Pune); drought-prone Marathwada & Vidarbha,white-label target,none (no digital MRV),Plan 1 crore (10M) saplings across Maharashtra; village adoption + water conservation; founded 2015 by Nana Patekar & Makarand Anaspure,Celebrity-driven donations + CSR for drought relief/plantation; specific roster not itemized,Trustee / Programme Coordinator,https://naammh.org/about-us/,
Low,Tarun Bharat Sangh (TBS),"Rajasthan (HQ Bheekampura, Alwar)",partner/benchmark,none (no per-tree digital MRV),"Founded 1975; 8,600+ johads; revived 5 rivers; Rajendra Singh ('Waterman of India', Magsaysay + Stockholm Water Prize); catchment greening tied to water work",Unconfirmed — historically grant/community funded; The Flow Partnership (international); no corporate tree roster,Chairman (Rajendra Singh) / Program Coordinator,https://tarunbharatsangh.in/,
Low,ICRISAT Development Center (IDC),"National research (HQ Hyderabad/Patancheru); watershed sites in MP, UP/Bundelkhand, Telangana, Karnataka",partner/benchmark,"basic-geotag (strong in-house remote-sensing/GIS watershed science, builds own geospatial tools)",Integrated watershed + agroforestry; e.g. Parasai-Sindh (Jhansi) ~115 ha tree-crop systems; Bundelkhand groundwater up 4-6m; UNDP Mahatma Award,"Coca-Cola India (watershed), JSW, Power Grid, Rural Electrification Corp; works with ICAR-CAFRI and govt","Director, ICRISAT Development Center (IDC)",https://idc.icrisat.org/idc/index.php/category/watersheds/,
Low,Kashi Educare Society,Uttar Pradesh (Varanasi),white-label target,none (no digital MRV),Restored ~5 acres via reforestation of degraded land; small-scale community Tree Plantation Initiative,"Unconfirmed — local NGO, roster not published",Secretary / Program Coordinator,https://kashieducare.org/plantation/,
Low,Swadhyay Parivar — Vriksh Mandir (Tree Temples),Maharashtra & Gujarat (e.g. Rajkot); western India villages,white-label target,none (no digital land/tree records),Community 'tree temple' orchards (~40-acre plots); hundreds of Vriksh Mandirs; total trees unconfirmed,Devotee/community-funded; no corporate partners,"Regional Coordinator, Swadhyay Parivar (Vriksh Mandir program)",http://www.swadhyay.org/prayogo/Vrikshmandir.htm,
Low,VanaVishwa Foundation,Central India (HQ Nagpur); claims pan-India CSR work,white-label target,unconfirmed (no evidence of per-tree geotag/MRV),Tree-plantation drives + community forest creation + school programs; cumulative count unconfirmed,Runs CSR environmental initiatives for corporates; named roster not public,Founder / CSR Lead,https://www.vanavishwa.org/,
Low,Tree For Life Foundation (India),India (multi-location mass plantation; emerged 2020),white-label target,unconfirmed (no disclosed digital MRV/geotag/app),Mass tree-plantation drives; cumulative count unconfirmed,Community + CSR-style plantation; named roster not public,Founder / Programs,https://www.treeforlifefoundation.org/,
Low,Vrukshdhara Foundation / Vruksh Dhara Charitable Trust,Maharashtra & Gujarat,white-label target,unconfirmed (no confirmed per-tree MRV),"Drives since July 2016; Gujarat trust goal 1,00,00,000 (10M) trees; collaborates with District Court/judiciary on drives",Unconfirmed — institutional (judiciary) + community drives; roster not published,Trustee / Program Head,https://www.vrukshdhara.org/,
Low,Backyard Botanist,India (corporate-CSR-focused Miyawaki builder),white-label target,unconfirmed (no per-tree geotag/MRV/app surfaced),Project-based corporate Miyawaki forests; scale unconfirmed,Positions explicitly as a Miyawaki partner for corporate CSR teams (publishes a CSR guide); client names unconfirmed,Founder / CSR partnerships,https://backyardbotanist.in/resources/miyawaki-forests-india-csr-guide,
Low,"WeForest (India programmes — Khasi Hills, Meghalaya)",India projects within global org (Meghalaya/Khasi Hills),partner/benchmark,full-MRV/blockchain (comprehensive in-house M&E / impact reporting),13M+ trees globally to date; India a major landscape; 96% sponsor-funded,Predominantly corporate-funded; global sustainability partners fund India landscapes,(Benchmark) Business Partnerships team,https://www.weforest.org/partner-with-us/business-partnerships/,
