Priority,Org,Category,Sector,Tier,Why fit,Scale signal,Source,Status
High,ITC Limited (Mission Sunehra Kal — Social & Farm Forestry),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),FMCG / Agri / Paper,High,"One of India's largest corporate afforestation footprints: Social + Farm Forestry has greened ~225,293 ha (64,795 ha pulpwood + 22,879 ha energy plantation), 101M+ person-days across 8 states; March 2025 impact-assessment shows live monitoring appetite. Strong fit for auditable per-tree proof + farmer-income story.","~225,293 ha greened cumulatively; 101M+ person-days; FY25 impact assessment published",https://itcportal.com/content/dam/itc-corporate/pdfs/sustainability-corporate-social-responsibility/impact-assessment-11-07-2025a.pdf,
High,Tata Motors (Vasundhara Program),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Auto,High,Tata-group (warm) environment-CSR 'Vasundhara': ~1M+ trees with >90% survival; plants a sapling per commercial vehicle sold across 10+ states; Warje (Pune) reforestation 16.5->200 ha with TERRE Policy Centre. Survival-rate focus + per-unit pledge maps directly to verifiable proof + carbon.,1M+ trees (>90% survival); sapling-per-CV-sold across 10+ states; 60 lakh lives impacted/decade,https://www.tatamotors.com/press-releases/tata-motors-plants-over-one-million-trees-improves-green-cover-of-maharashtras-tribal-interiors/,
High,JSW Steel / JSW Foundation,Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Metals / Steel,High,"FY25 mangrove afforestation 40 ha Alibag (1,25,000 mangroves), 22,450 saplings at Daroji Reserve Forest, Miyawaki at units; 20 lakh+ trees and 70+ ha mangrove restoration (350,000+ saplings) group-wide; CSR grew 63cr (FY19) -> 235cr (FY24). Multi-site footprint + rising budget = strong High-tier sponsor needing per-site survival tracking.","1,25,000 mangroves (40 ha, Jan 2025); 20 lakh+ trees group-wide; CSR Rs 235cr FY24; 38 districts/17 states",https://www.jswsteel.in/jsw-steel-annual-report-2024-25/biodiversity.html,
High,L&T (Larsen & Toubro) — Project GreenHands / Three Forests,Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Engineering / Construction,High,~13M saplings 2008-2024; a single Project GreenHands drive planted 2.5M+ across 559 sites (Aug 2023); integrated Miyawaki + Agroforest + Community Forest model; ranked 3rd globally in ENR Top 200 Environmental Firms 2024. Credibility + scale = strong fit for centralized MRV.,~13M saplings (2008-24); 2.5M in one 2023 drive across 559 sites; ENR #3 env firm 2024,https://growbilliontrees.com/pages/l-t-one-mission-three-forests-agroforest-miyawaki-community,
High,NTPC Limited,PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Power Generation PSU (Maharatna),High,"Green Credit early mover: 1,853 ha committed; separate afforestation on 25 parcels (426.20 ha) of degraded forest across Chhattisgarh/MP/Maharashtra/UP; 40M trees to date; converting Badarpur Ash Dyke (884 acres) into an eco-park; collaborates with forest depts on Compensatory Afforestation + Catchment Area Treatment. Deep multi-state program ideal for centralized MRV + Green-Credit survival/canopy audit.","1,853 ha Green Credit commitment; 40M trees cumulative; 426 ha GCP across 4 states",https://ntpc.co.in/about-us/corporate-functions/environment/afforestation,
High,Coal India Limited (CIL),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Coal Mining PSU (Maharatna),High,"Registered Green Credit Programme participant; ~13,400 ha greened FY20-FY25 (target 15,350 ha FY25-FY29) with drone seeding + Miyawaki + seed balls; 32 eco-parks on reclaimed land; Green World Environment Award 2024. Land-restoration + biodiversity reporting at scale across subsidiaries — strong fit for survival/canopy MRV tied to reclamation obligations.","13,400 ha greened FY20-25; 15,350 ha target FY25-29; 32 eco-parks; registered GCP participant",https://coal.gov.in/sites/default/files/2024-11/GreenCreditProgram4.pdf,
High,UltraTech Cement (Aditya Birla),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Cement,High,"Miyawaki afforestation at integrated units (6,000+ trees at Bela, Rewa MP), biodiversity assessments across 14 units, 'No Net Loss to Biodiversity' commitment; 5x water-positive FY24. Site-based greening at India's largest cement maker — High-tier env budget, biodiversity-disclosure driven.",Miyawaki at 3+ integrated units; 14-unit biodiversity assessments; 5x water-positive FY24,https://www.ultratechcement.com/corporate/media/stories/ultratech-fosters-biodiversity-with-miyawaki-forests-at-its-unit,
High,Ambuja Cements / Ambuja Cement Foundation (Adani),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Cement,High,"1.5M cumulative trees, 1.08 lakh FY25, committed to 8.3M trees by 2030 (6.6M already planted); Biodiversity Action Plan with greenbelt + mangrove restoration; first Indian cement co. on TNFD, IBBI signatory, 'No Net Deforestation' pledge. Time-bound afforestation = recurring sponsor.",8.3M-tree 2030 target (6.6M done); 1.5M cumulative; TNFD-adopter; 648 project villages,https://www.ambujacement.com/annual-report-2024/natural-capital.html,
High,Tata Steel,Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Metals / Steel,High,"Tata-group (warm). Noamundi mine afforestation 165.5 ha, 1.1M+ saplings (ML-monitored restoration case study); 200,000+ saplings FY24 across Jamshedpur/Meramandali/Kalinganagar; Miyawaki at BSL Khopoli; biodiversity-management-plan target for 100% sites by 2025. Strong proof/monitoring culture = warm fit.",1.1M+ saplings/165.5 ha at Noamundi; 200k+ saplings FY24; 100%-sites BMP by 2025,https://www.tatasteel.com/sustainability/environment/biodiversity/,
High,Reliance Industries / Reliance Foundation,Corporate foundations + large philanthropic trusts (commission afforestation programs),Energy / Conglomerate / Retail,High,"Geo-tag + public-transparency stance aligns precisely with a living-proof platform. Runs large afforestation drives (2.5 lakh trees in degraded areas; Triveni neem-peepal-banyan clusters; Aravalli restoration), co-funds Sanjay Gandhi National Park expansion (2M+ trees since 2024), all plantings geo-tagged and publicly shared. Total CSR Rs 2,156cr FY25 (rising to Rs 2,248cr FY26); environment is a named pillar.","Total CSR Rs 2,156cr FY25 (Rs 2,248cr FY26); part of 2M+ trees SGNP expansion since 2024; geo-tagged public plantations",https://indiacsr.in/reliance-industries-spends-rs-2156-crore-on-csr-in-fy25/,
High,Aditya Birla Group (UltraTech / Hindalco / Grasim foundations),Corporate foundations + large philanthropic trusts (commission afforestation programs),Cement / Metals / Conglomerate,High,"Group-level foundation play (distinct from the individual unit rows): large-scale afforestation incl. Miyawaki forests, mine reclamation, 'No Net Loss' biodiversity plans with threatened-species tracking — the program already measures and reports, a natural MRV upsell. Group CSR exceeds Rs 500cr; afforestation tied to SDG 13/15.",Group CSR >Rs 500cr; documented Miyawaki + biodiversity-management programs in 2024 reporting; SDG 13/15-aligned,https://www.adityabirla.com/en/media/stories/world-environment-day-2024.html,
High,JSW Foundation (JSW Group),Corporate foundations + large philanthropic trusts (commission afforestation programs),Steel / Energy / Ports,High,"Foundation-level entity (complements the JSW Steel unit row): 20 lakh+ trees; restored 20,000 ha farmland with contour trenches + afforestation; 70+ ha mangrove restoration (350,000+ saplings); operates in 38 districts/17 states; co-sponsors Earth Care Awards. Multi-site footprint needing per-site survival + impact tracking.","20,00,000+ trees; 38 districts/17 states; 2M+ people impacted; Earth Care Awards co-sponsor",https://www.jsw.in/foundation/,
High,Hero MotoCorp (We Care / Hero Green Drive),Corporate foundations + large philanthropic trusts (commission afforestation programs),Auto (Two-wheelers),High,"Sharpest survival-KPI hook in the list: named Green Drive targeting 1.4M+ trees with an explicit 90% survival-rate focus — survival verification is their stated KPI. 14 lakh+ trees since 2015; Rs 51.36cr cumulative environment CSR; record 200,000 trees + 35,000 families in Dehradun.","14 lakh+ trees since 2015 (90% survival KPI); Rs 51.36cr cumulative env CSR; 200,000-tree Dehradun drive",https://indiacsr.in/hero-motos-csr-initiative-to-improve-green-cover-in-india/,
High,Indian Oil Corporation Limited (IOCL),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Oil & Gas PSU (Maharatna),High,"Single largest Green Credit Programme commitment of any entity: 11,890 ha of degraded forest for eco-restoration. Runs Miyawaki urban forests (Chennai), 20-lakh mangrove coastal restoration, butterfly parks; ~40 lakh trees across sites. Will need multi-year MRV + survival/canopy-density audit to realize Green Credits = bullseye compliance hook.","11,890 ha Green Credit commitment (largest in India); ~40 lakh trees; Maharatna CSR budget",https://india.mongabay.com/2024/12/green-credit-programme-rolls-out-with-little-clarity-on-exchange-value/,
High,Power Grid Corporation of India Limited (POWERGRID),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Power Transmission PSU (Maharatna),High,"Second-largest Green Credit commitment: 4,372 ha of degraded forest eco-restoration (incl. 100 ha MP); 1.35 lakh trees under 'Ek Ped Maa Ke Naam'; Rs 360cr CSR FY25. Highly visible, audit-exposed afforestation footprint needing verified tracking.","4,372 ha Green Credit commitment; Rs 360cr CSR FY25; 1.35 lakh trees FY25",https://indiacsr.in/powergrid-spent-rs-360-crore-corporate-social-responsibility-csr-initiatives-fy25/,
High,NHPC Limited,PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Hydropower PSU (Navratna),High,"Registered Green Credit participant with large compensatory-afforestation obligations — consent to identify CA land in other states for the 1,605 MW Subansiri Upper and 1,720 MW Kamala HEPs; Rs 781.25cr CSR FY15-24 across 20 states; 50th-anniversary plantation drives. Hydropower CA + CAMPA exposure is a classic survival-tracking use case.",Rs 781.25cr CSR FY15-24; CA obligations for multi-GW projects; registered GCP participant,https://arunachaltimes.in/index.php/2026/02/17/dept-gives-nod-to-nhpc-to-identify-land-for-compensatory-afforestation-in-other-states/,
High,NMDC Limited,PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Iron Ore Mining PSU (Navratna),High,"Invested ~Rs 112cr in the 'Hariyar Kosh' afforestation initiative around the Bacheli Complex, Chhattisgarh; planted 3M+ trees as part of responsible-mining/biodiversity CSR. Large dedicated afforestation fund tied to mining footprint = strong fit for geotagged MRV.",~Rs 112cr Hariyar Kosh afforestation fund; 3M+ trees planted; Navratna CSR budget,https://thecsruniverse.com/articles/nmdc-changing-the-narrative-of-chhattisgarh-over-the-last-six-decades,
High,GAIL (India) Limited,PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Gas Transmission PSU (Maharatna),High,"Runs 'GAIL Harit', a dedicated afforestation/biodiversity CSR vertical (SDG 13/15); FY24-25 CSR Rs 183.77cr; Pata plant has 160 acres green cover + butterfly park (1.54 lakh trees); contributes to CAMPA for pipeline forest diversions. Named environment-CSR brand = an easy, motivated buyer.",Rs 183.77cr CSR FY24-25; GAIL Harit dedicated green vertical; 1.54 lakh trees at Pata; CAMPA contributor,https://www.gailonline.com/pdf/InvestorsZone/AnnualReports/BUSINESS%20RESPONSIBILITY%20&%20SUSTAINABILITY%20REPORT%20(BRSR)%20FY%202024-25.pdf,
High,MoEFCC Green Credit Programme (GCP) — Govt of India,PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Central Government environment programme,High,"The national policy engine (Green Credit Rules 2023; tree-plantation/eco-restoration modality notified Feb 2024, revised Aug 2025) under which 40 PSUs and 384 entities registered and ~3,000-9,000 ha of restoration is underway; credits require 5 years of work + 40% canopy density before issuance. Not a CSR buyer itself but the standard-setter and a channel to every registered PSU.","40 PSUs + 384 entities registered; 9,000+ ha paid-for restoration; 5-yr/40%-canopy audit requirement",https://www.moefcc-gcp.in/about/aboutGCP,
High,"Indian Council of Forestry Research and Education (ICFRE), Dehradun",PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Central autonomous body / Green Credit Administrator,High,"Statutory Administrator/implementor of the Green Credit Programme — owns management, operation, issuance and verification of green credits (restoration + canopy density). The single most strategic government partner: the MRV/audit standard every PSU's credit issuance depends on. Sell the verification toolchain to ICFRE itself or get certified by it.",National GCP administrator; controls credit issuance for all 40+ PSU participants; apex forestry-research body under MoEFCC,https://en.wikipedia.org/wiki/Indian_Council_of_Forestry_Research_and_Education,
